4, 1, 909, 0
4, 2, 1851, 0
4, 3, 2804, 0
4, 4, 1109, 0
4, 5, 774, 0
4, 6, 569, 0
4, 7, 942, 0
4, 8, 649, 0
4, 9, 776, 0
4, 10, 577, 0
8, 1, 235, 0
8, 2, 906, 0
8, 3, 597, 0
8, 4, 701, 0
8, 5, 594, 0
8, 6, 505, 0
8, 7, 627, 0
8, 8, 568, 0
8, 9, 788, 0
8, 10, 543, 0
12, 1, 212, 0
12, 2, 643, 0
12, 3, 837, 0
12, 4, 616, 0
12, 5, 675, 0
12, 6, 554, 0
12, 7, 554, 0
12, 8, 781, 0
12, 9, 767, 0
12, 10, 525, 0
16, 1, 238, 0
16, 2, 587, 0
16, 3, 593, 0
16, 4, 750, 0
16, 5, 583, 0
16, 6, 533, 0
16, 7, 665, 0
16, 8, 638, 0
16, 9, 564, 0
16, 10, 516, 0
20, 1, 228, 0
20, 2, 1015, 0
20, 3, 595, 0
20, 4, 735, 0
20, 5, 612, 0
20, 6, 636, 0
20, 7, 709, 0
20, 8, 553, 0
20, 9, 650, 0
20, 10, 608, 0
