4, 1, 1197, 0
4, 2, 1717, 0
4, 3, 1534, 0
4, 4, 1176, 0
4, 5, 796, 0
4, 6, 760, 0
4, 7, 755, 0
4, 8, 816, 0
4, 9, 718, 0
4, 10, 703, 0
8, 1, 276, 0
8, 2, 901, 0
8, 3, 948, 0
8, 4, 647, 0
8, 5, 750, 0
8, 6, 704, 0
8, 7, 834, 0
8, 8, 823, 0
8, 9, 688, 0
8, 10, 608, 0
12, 1, 245, 0
12, 2, 1035, 0
12, 3, 1192, 0
12, 4, 32609, 0
12, 5, 773, 0
12, 6, 682, 0
12, 7, 1083, 0
12, 8, 676, 0
12, 9, 823, 0
12, 10, 508, 0
16, 1, 214, 0
16, 2, 1565, 0
16, 3, 1023, 0
16, 4, 555, 0
16, 5, 594, 0
16, 6, 654, 0
16, 7, 547, 0
16, 8, 491, 0
16, 9, 509, 0
16, 10, 527, 0
20, 1, 249, 0
20, 2, 6194, 0
20, 3, 1627, 0
20, 4, 1510, 0
20, 5, 989, 0
20, 6, 729, 0
20, 7, 997, 0
20, 8, 1366, 0
20, 9, 924, 0
20, 10, 611, 0
