4, 1, 759, 0
4, 2, 1556, 0
4, 3, 1123, 0
4, 4, 1050, 0
4, 5, 2018, 0
4, 6, 1258, 0
4, 7, 1238, 0
4, 8, 561, 0
4, 9, 1105, 0
4, 10, 951, 0
8, 1, 374, 0
8, 2, 1450, 0
8, 3, 630, 0
8, 4, 1454, 0
8, 5, 623, 0
8, 6, 723, 0
8, 7, 855, 0
8, 8, 1105, 0
8, 9, 666, 0
8, 10, 601, 0
12, 1, 449, 0
12, 2, 2163, 0
12, 3, 1217, 0
12, 4, 4381, 0
12, 5, 1520, 0
12, 6, 723, 0
12, 7, 3302, 0
12, 8, 3123, 0
12, 9, 1356, 0
12, 10, 589, 0
16, 1, 345, 0
16, 2, 551, 0
16, 3, 2042, 0
16, 4, 788, 0
16, 5, 820, 0
16, 6, 546, 0
16, 7, 859, 0
16, 8, 585, 0
16, 9, 1171, 0
16, 10, 665, 0
20, 1, 238, 0
20, 2, 1541, 0
20, 3, 650, 0
20, 4, 1305, 0
20, 5, 484, 0
20, 6, 424, 0
20, 7, 834, 0
20, 8, 545, 0
20, 9, 602, 0
20, 10, 562, 0
