49, 1, 2076849, 36369
49, 2, 919796, 36369
49, 3, 815652, 36369
49, 4, 591581, 36369
49, 5, 661555, 36369
49, 6, 677204, 36369
49, 7, 637177, 36369
49, 8, 648913, 36369
49, 9, 817954, 36369
49, 10, 624637, 36369
97, 1, 3432808, 292769
97, 2, 3207480, 292769
97, 3, 3190776, 292769
97, 4, 3288095, 292769
97, 5, 3111646, 292769
97, 6, 3399779, 292769
97, 7, 3368128, 292769
97, 8, 3335071, 292769
97, 9, 3714480, 292769
97, 10, 3713250, 292769
145, 1, 11372246, 990385
145, 2, 11025349, 990385
145, 3, 11214967, 990385
145, 4, 11182540, 990385
145, 5, 11313760, 990385
145, 6, 11110997, 990385
145, 7, 7617211, 990385
145, 8, 7983341, 990385
145, 9, 7680091, 990385
145, 10, 7803325, 990385
193, 1, 16958451, 2350401
193, 2, 16927985, 2350401
193, 3, 16032681, 2350401
193, 4, 16073922, 2350401
193, 5, 16531504, 2350401
193, 6, 15119290, 2350401
193, 7, 14797714, 2350401
193, 8, 17777234, 2350401
193, 9, 17278617, 2350401
193, 10, 17217005, 2350401
